time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2018-04-10 23:24:07.655 UTC, ,125,3158477,824,12624, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1077,1,469,469,1, ,2,4, ,49,49, , , , , ,1,10, , , , , , , , , , , , , , , , , , , , , , , , ,1523402647138, , , , ,3145728, , , , ,2,3,3,3,3,3, , ,3,4, , , , , , , ,38,1, , ,2105344,3,1087,3, , , , ,4,558,27,1183,365292392,2, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-04-10 23:24:12.145 UTC, ,125,3195525,4128,49672, , ,4, ,126, , , , , , , , , ,4,4, , , , ,2,4, , , , , , , , , , , , , , , , ,1077,1,469,469, , , , , ,49,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402647138, , , , ,3145728, , , , ,0, , , ,2,26, , ,3, , , , , , , , , , , , ,8192,2,5214,26, , , , ,2,624,3,148,581114152,3, , , , , , ,93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , ,47, , , , , , , 
2018-04-10 23:24:12.273 UTC, ,125,3161005,1056,15152, , ,3, ,23,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,21,8, , , , , , , , , , , , , ,10396,2, ,6458, , , , , ,47,47, , , , , ,1,102, , , , , , , , , , , , , , , , , , , , , , , , ,1523402652199, , , , ,3145728, , , ,16,0, , , ,2, , , ,3, , , , ,16, ,4096,1, , , , ,21008852,27, , , , , , ,6,1182,30,1331,642097232,3, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-04-10 23:24:12.310 UTC, ,125,3194397,4128,48544, , ,4, ,68,1,0.01, , , , , , , ,4,4, , , ,2,2,4, ,50,49, , , , , , , , , , , , , ,10396,2, ,6458, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402652199, , , , ,3145728, , , ,51,0, , , ,1, , , ,3, , , , ,51,1, , , , , , ,15094,52, , , , , , , , , , ,643087704,3, , , , , , ,93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , , , , , , 
2018-04-10 23:24:13.068 UTC, ,125,2112429,1056,15152, , ,3, ,23,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,21,8, , , , , , , , , , , , , ,10396,2, ,6458, , , , , ,47,47, , , , , ,2,102, , , , , , , , , , , , , , , , , , , , , , , , ,1523402653039, , , , ,2097150, , , ,16,0, , , ,2, , , ,3, , , , ,16, ,2048,1, , , , ,117204,29, , , , , , ,8,1857,32,1344,306038736,3, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-04-10 23:24:13.284 UTC, ,589,2196813,4960,99072, , ,12, ,234, , , , , , , , , ,12,12, , , ,2,8,14, ,183,49, , , , , , , , , , , , , ,10396,2, ,6458, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402653039, , , , ,2097150, , , ,49,4, ,18, ,3, , , ,3,32, , , ,49,1, , , , , , ,8950,52,8675,32, , , , , , , , ,388882592,3, , , , , , ,368, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,39, , ,18,18,18, , , , , , 
2018-04-10 23:24:13.365 UTC, ,125,3171477,2912,25624, , ,3, ,29,3,0.10, , , , , , , ,3,3, ,2, ,2,1,4, ,29,17, , , , , , , , , , , , , ,21826,3, ,19235, , , , , ,40,40, , , , , ,1,247, , , , , , , , , , , , , , , , , , , , , , , , ,1523402653322, , , , ,3145728, , , ,25,0, , , ,2, , , ,3, , , , ,25, ,4096,1, , , , ,21009510,36, , , , , , ,8,1857,32,1344,445740512,3, , , , , , ,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-04-10 23:24:22.432 UTC, ,589,3261085,8800,114768, , ,12, ,414,9,0.02, , , , , , , ,12,12, , , ,7,7,14, ,97,44, , , , , , , , , , , , , ,21826,3, ,19235, , , , , ,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402653322, , , , ,3145728, , , ,62,0, , , ,3,42, , ,3, , , , ,62,1, , , , , , ,88893,65,9371,42, , , , , , ,1,32,477388912,2, , , , , , ,369, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,36, ,39,94,83,18, , , , , , 
2018-04-10 23:24:22.877 UTC, ,125,3174125,2912,28160,112, ,3, ,66,3,0.05, , , , , , , ,3,3, ,2, ,2,1,4, ,62,19, , , , , , , , , , , , , ,38098,4, ,31361, , , , , ,42,42, , , , , ,1,389, , , , , , , , , , , , , , , , , , , , , , , , ,1523402662808, , , , ,3145728, , , ,27,0, , , ,3, , , ,3, , , , ,27,1,4096,1, , , , ,21013747,39, , , , , , ,8,1857,33,1376,653088568,2, , , , , , ,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-04-10 23:24:22.992 UTC, ,125,3243813,8800,97960, , ,7, ,195,4,0.02, , , , , , , ,7,7, , , ,4,2,10, ,145,106, , , , , , , , , , , , , ,38098,4, ,31361, , , , , ,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402662808, , , , ,3145728, , , ,114,0, , , , , , , ,3, , , , ,114,1, , , , , , ,40327,114, , , , , , , , , , ,663353896,2, , , , , , ,223, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43,18,30, , , , , , , 
